Time[s], vd1.8V
14.04918619, 1
14.08234605, 0
14.08258667, 1
14.11573939, 0
14.12223325, 1
14.15538061, 0
14.15673504, 1
14.18988159, 0
14.19282315, 1
14.22596955, 0
14.22619754, 1
14.25934251, 0
14.25955033, 1
14.29268243, 0
14.29308225, 1
14.32621398, 0
14.32644339, 1
14.35958252, 0
14.36351801, 1
14.39665656, 0
14.39690986, 1
14.43003895, 0
14.43025465, 1
14.46336940, 0
14.46356052, 1
14.49668358, 0
14.49686037, 1
14.52999091, 0
14.53262892, 1
14.56574338, 0
14.56908108, 1
14.60219466, 0
14.60332424, 1
14.63644088, 0
14.63930525, 1
14.67241958, 0
14.67343319, 1
14.70654851, 0
14.70795804, 1
14.74107159, 0
14.74125976, 1
14.77437350, 0
14.77458165, 1
14.80771000, 0
14.81063486, 1
14.84376365, 0
14.84394479, 1
14.87707399, 0
14.87878082, 1
14.91190838, 0
14.91282842, 1
14.94595745, 0
14.94617428, 1
14.97929670, 0
14.98096799, 1
15.01409130, 0
15.01483000, 1
15.04795176, 0
15.05260277, 1
15.08572618, 0
15.08787798, 1
15.12100372, 0
15.12287072, 1
15.15599364, 0
15.15623477, 1
15.18934856, 0
15.18958650, 1
15.22269961, 0
15.22292416, 1
15.25603793, 0
15.25625179, 1
15.28938006, 0
15.28959508, 1
15.32272297, 0
15.32433298, 1
15.35746081, 0
15.35787723, 1
15.39100511, 0
15.39120337, 1
15.42434967, 0
15.42575239, 1
15.45889835, 0
15.45910344, 1
15.49224920, 0
15.49266196, 1
15.52580806, 0
15.52667151, 1
15.55981747, 0
15.56003499, 1
15.59318101, 0
15.59360373, 1
15.62674976, 0
15.62693265, 1
15.66008224, 0
15.66191334, 1
15.69505897, 0
15.69720390, 1
15.73034938, 0
15.73053526, 1
15.76368168, 0
15.76947771, 1
15.80262522, 0
15.80482389, 1
15.83796956, 0
15.83958010, 1
15.87272483, 0
15.87300984, 1
15.90615631, 0
15.90638730, 1
15.93953314, 0
15.93973554, 1
15.97288262, 0
15.97345416, 1
16.00659866, 0
16.00819832, 1
16.04134340, 0
16.04154134, 1
16.07468651, 0
16.07491742, 1
16.10806325, 0
16.10955314, 1
16.14270005, 0
16.14297900, 1
16.17612403, 0
16.17633625, 1
16.20948297, 0
16.20973867, 1
16.24288942, 0
16.24311144, 1
16.27626370, 0
16.27870210, 1
16.31185393, 0
16.31203615, 1
16.34518645, 0
16.34540604, 1
17.47894613, 0
17.47913113, 1
17.51227722, 0
17.51758920, 1
17.55074143, 0
17.55093697, 1
17.58408933, 0
17.58430149, 1
17.61745358, 0
17.61961713, 1
17.65276862, 0
17.65302142, 1
17.68617344, 0
17.68641204, 1
17.71955745, 0
17.71978134, 1
17.75292752, 0
17.75345459, 1
17.78660020, 0
17.78944115, 1
17.82258795, 0
17.82291348, 1
17.85605975, 0
17.85637053, 1
17.88951706, 0
17.88975729, 1
17.92290313, 0
17.92508619, 1
17.95823218, 0
17.96055333, 1
17.99369975, 0
17.99392090, 1
18.02706618, 0
18.02951219, 1
